"id","cuisine","rating","review_count","name","address","latitude","longitude","zipcode"
"KvLrI20Abz6F9WzAIHmyWQ","American",3,240,"Cafe R","116 W 32nd St",40.74883,-73.98972,"10001"
"BFhqkWaninG54vhiX8ppVw","American",4,69,"Freud","506 Laguardia Pl",40.727733,-73.999557,"10012"
"-_4i_FQ1Tt_aMU904O82Ow","American",3.5,130,"Crompton Ale House","159 W 26th St",40.7459087,-73.9937093,"10001"
"idyZhq9vMaYxQ40hYH2x5g","American",4,65,"Cafe Bari","276 Canal St",40.71909,-74.00173,"10013"
"E3MkTTS4ZDjWV9YT5i6eUg","American",4,73,"Houseman","508 Greenwich St",40.7256288347129,-74.0092368030346,"10013"
"IrlANmmvYynVviRwvOqNxg","American",3.5,165,"The Bailey Pub & Brasserie","52 William And Wall St",40.7068041,-74.0089388,"10005"
"wua1Rw6xlIm6VYVy44G87g","American",3.5,116,"Temple Court","5 Beekman St",40.711288,-74.006803,"10038"
"-78KGJqSFFNnlN6B0ptung","American",4,168,"M Wells Dinette","22-25 Jackson Ave",40.7455907393276,-73.9471544576721,"11101"
"Dl6gScTjYKyF7e1aU0NflA","American",3.5,91,"Michael's","24 W 55th St",40.7620314,-73.9764479,"10019"
"DMOwfdP0Va1QI_KNefD8kg","American",3.5,582,"Berry Park","4 Berry St",40.7224719,-73.9552526,"11211"
"350F7vZ8gWh3ojxEWbxA3Q","American",4,61,"The Distillery","785 9th Ave",40.76509,-73.98818,"10019"
"t4hGjbQaZtBqDAEoqdCJoA","American",4,69,"Richie's Burger Joint","2665 Broadway",40.7982592975529,-73.9695739619898,"10025"
"zVs1YR-iQCdo8uESHqDtFg","American",3,163,"Inside Park at St Bart's","325 Park Ave",40.7572278,-73.9735876,"10022"
"92vOHinyRpz2GI_clH8-uQ","American",4,87,"Sticky's Finger Joint","21 Maiden Ln",40.7093087362013,-74.0090160288361,"10038"
"f5Tgam-3aZSUT-jqQdLw-w","American",3,192,"The Cutting Room","44 E 32nd St",40.7458115,-73.9829483,"10016"
"6AC4yhUdnh64zE6b5-n6OQ","American",4.5,41,"Renaissance Harlem","2245 Adam Clayton Powell",40.8133399,-73.94467,"10027"
