"id","cuisine","rating","review_count","name","address","latitude","longitude","zipcode"
"44SY464xDHbvOcjDzRbKkQ","Japanese",4,9290,"Ippudo East Village","65 4th Ave",40.730922,-73.990167,"10003"
"-134ZvJ4lgiqx-sjRBWQ9g","Japanese",4,4796,"Totto Ramen","366 W 52nd St",40.7643285462369,-73.9876558773155,"10019"
"TN4RnyqHMSupRFot4Q-_EA","Japanese",4,3085,"Ippudo Westside","321 W 51st St",40.76354,-73.98653,"10019"
"t1w4qyqyfEdTPhoy-5t3FA","Japanese",4,2747,"Morimoto","88 10th Ave",40.74312,-74.007185,"10011"
"7EaiwMVaNdQibSs0yYkE5Q","Japanese",4,1925,"Sushi Yasuda","204 E 43rd St",40.75113,-73.97347,"10017"
"klAhw3xLQi9GF1tf_HnS7w","Japanese",4,1696,"Izakaya MEW","53 W 35th St",40.7501853096499,-73.9863203465939,"10001"
"7iY35991NhQ1AShJZCNZgA","Japanese",4,1606,"Sakagura","211 E 43rd St",40.7516467024541,-73.9729489318165,"10017"
"HZWHBfeuP4Fb6y8b8uqnbA","Japanese",4,1482,"Sushi Yasaka","251 W 72nd St",40.779583,-73.983482,"10023"
"zGAQqDu0Ak2khVYs9WdQxw","Japanese",4.5,1086,"Sushi Nakazawa","23 Commerce St",40.7317465228689,-74.0045493828034,"10014"
"5QgBCrAbXbM1ORiqZDrBPQ","Japanese",4,1504,"Cha-An","230 E 9th St",40.72947,-73.98813,"10003"
"HfJhenvKDi-ds8SUJFwrLg","Japanese",3.5,3834,"Momofuku Noodle Bar","171 1st Ave",40.7292063820076,-73.9844848239426,"10003"
"bB8dHfAEJrF5tNcHr0yJjA","Japanese",4,1464,"Gyu-Kaku Japanese BBQ","34 Cooper Sq",40.72822,-73.99142,"10003"
"Lbs8QBRN1U7IYBo5Mcv-RQ","Japanese",4,1377,"88 Lan Zhou Handmade Noodles & Dumplings","40 Bowery St",40.7156552,-73.9969012,"10013"
"OLSSJIp8pu5UlugTF7tuHA","Japanese",4,1156,"Ootoya Chelsea","8 W 18th St",40.738767,-73.992778,"10011"
"eRtceh_W_yniAfCqJni5Bg","Japanese",4,1300,"Go! Go! Curry!","273 W 38th St",40.75463,-73.99115,"10018"
"8fr5FYU1ip0phERt1mrekg","Japanese",4.5,640,"Bohemian Restaurant","57 Great Jones St",40.72639,-73.99236,"10012"
"FlZ1zdVEKWv7dwqm8Uw8-w","Japanese",4.5,639,"Raku","342 E 6th St",40.7264988089246,-73.9866526052356,"10003"
