"id","cuisine","rating","review_count","name","address","latitude","longitude","zipcode"
"B2oluN-xUWvHkrIwtEOucQ","Japanese",3.5,71,"Shinjuku Japanese Restaurant","27 Park Pl",40.7130466,-74.0087528,"10007"
"0Zjp3JcxwNijCBWEKd7Nyg","Japanese",3,98,"Azusa of Japan","3 E 44th St",40.7546,-73.97926,"10017"
"_ysOWxPCLp0zILZWrREXoA","Japanese",3,84,"Hai Street Kitchen","230 Park Ave",40.754394,-73.976104,"10169"
"7HJrtpB0mo8tndvxOkN31w","Japanese",3,115,"Kitaro","510 Amsterdam Ave",40.78685,-73.97585,"10024"
"KrJ6m_TkxBAPPSNH-G7rvQ","Japanese",4.5,81,"U-gu","541 Myrtle Ave",40.69393,-73.96284,"11205"
"uK1U9Ny7p2DsNR_B8w2SkQ","Japanese",4.5,16,"The Noodle Bar at Brushstroke","30 Hudson St",40.7166953,-74.0089441,"10013"
"l6ZFhrONGp0b80bxnOFiwg","Japanese",3.5,70,"Ogawa Japanese Restaurant","36 E 4th St",40.7271957397461,-73.9922714233398,"10003"
"FXimZKjpMjbDR20M2ruhvg","Japanese",4.5,60,"Sapps","27-26 Jackson Ave",40.74762,-73.94008,"11101"
"l7G5tDA96xbA_bx1ZgkOeg","Japanese",3.5,63,"ICHIRAN Midtown","132 W 31st St",40.74839,-73.99062,"10001"
"VDbMrjBq-XAKZTS_cgB9_A","Japanese",3.5,51,"Asian 59","207 E 59th St",40.76153,-73.96595,"10022"
"nhez4xxvwwYIQEN2Vrj9mQ","Japanese",4,112,"YUJI Ramen","150 Ainslie St",40.712527,-73.9487788,"11211"
"8nVsfKu_NGdTgZruGNW9-A","Japanese",4.5,11,"Shinya Shokudo","248 E 52nd St",40.75613,-73.9682,"10022"
"inp9N7bo9zqQSa8h8UBhqg","Japanese",2.5,185,"Empire Szechuan","193 Columbus Ave",40.775683,-73.980178,"10023"
"cEeWgcPTf-NujmpQqXxcUg","Japanese",3.5,132,"Osaka Japanese Fusion","2524 Broadway",40.7628662644824,-73.9276888982055,"11106"
"ucuVeJZiXW1nW7orSV0khw","Japanese",3,63,"Tiki Tabu","190 Allen St",40.722085,-73.988506,"10002"
"FlAK0QXHIMqW6koDhs7DXA","Japanese",3.5,221,"Junko Sushi","33-02 Broadway",40.76093,-73.92381,"11106"
