"id","cuisine","rating","review_count"
"FXhSEZfIqjMZh4hR0_8jMQ","Chinese",4,293
"dpCSDy9uefOEcY44FHss2Q","Chinese",3.5,357
"53y6b_-YaptXhlm2-STzeA","Chinese",3.5,451
"pepM7-yv4-jCT6S1nl6fPg","Chinese",4.5,114
"scTDvJ2M2jDbb1ntVeIyxA","Chinese",3.5,350
"WzdVUuFIv1JzLPTZRnTjVA","Chinese",4,175
"lpLd3AFaMOV7LfPtvUiq8A","Chinese",3,624
"Cd11Q5nxqthvg5xQx2SW2g","Chinese",3.5,413
"ePVlFbTzdVQFWie__kdplg","Chinese",3.5,341
"1dFOF1HPaThSCsdiqR7DrA","Chinese",3.5,267
"mOP2_wjgUMqELKDL1Y-U-A","Chinese",3.5,402
"za9mYaRVWkwKkQfjRgvU0g","Chinese",4,243
"wDuf4Qz9qsC62amLZgWNJQ","Chinese",4,149
"lQ8Fzgji9qmgRXkFcvAsVQ","Chinese",4,180
"6dVXDdgzDEVt4DvHzpWo9w","Chinese",3.5,274
"xK8VkEUjAdfrtUBHhvs4Ww","Chinese",3.5,474
"l1nX-f46dmOEmYPoiuLSaw","Chinese",3.5,348
"fBST87mwCyiYUSEADXOdSA","Chinese",3.5,339
"WIj12zDqIbBucW1hXYhrew","Chinese",4,163
"x64xHVZoQj1ZOjzPqVprkw","Chinese",4,180
"6OWMji5GiqRlRPZSb1lJ4A","Chinese",4,186
"eMmcNV51xPKNGMCqBccPvw","Chinese",4,167
"mxjv5RgkTr5qw3wjr2fXmA","Chinese",4,134
"JaKLZrh1Y_2qB_0Gc3bk3A","Chinese",3,411
"xCHApgtkLpEyh0lz-uhZvg","Chinese",4,190
"dVAI5zh29psdbHp9wGXwVQ","Chinese",3.5,236
"wurhcLKXD4YJ5XfTxpbE5Q","Chinese",3.5,389
"OvdCm3j_5HzItolfvwrEUA","Chinese",3.5,337
"Lp8vAE5nHSt5zbu-lSGK8A","Chinese",4,235
"sfsjk1h50ooC2ioY7m48gw","Chinese",4,207
"Qn-qGoIkj-9uApdxb_VTeA","Chinese",3.5,385
"g_5V15Xp1OvB1QXuGMstYA","Chinese",3,482
"-xck-yYOqrSl8rGKCVsdGw","Chinese",4,121
"duofsxNkSFWVre6eV1uhUQ","Chinese",4,172
"_Ge2eC89Z-jlaDDWglfT8g","Chinese",4.5,92
"MdDj13LgIs0WdbIdiyqB7Q","Chinese",4,168
"agCuWjaUJ8xBO_PDDQRiGw","Chinese",4,89
"bGOZTD9O00OkVA1Pkt3OuQ","Chinese",3.5,261
"oowNI_aUmGEFa_VW8BFgRg","Chinese",4,151
"hh0W5CPtx2MoyQGb1kAEEA","Chinese",4,172
"v2dtG37r1ThqtfEfiFsAUg","Chinese",3,429
"n1elkLPlnQX_PArLvuVVIg","Chinese",3.5,308
"RoXFN-T1s6moM5smbY_5Gw","Chinese",3,443
"7hyQqnnAisSL-nfIWCPziQ","Chinese",3.5,206
"AgTj_2PYIKP519hexQCvCg","Chinese",3.5,284
"0dDCDQz7DrKkSvu9h2hcQw","Chinese",4.5,67
"jc7lVTvmYMIK5RNpENtS6w","Chinese",4,97
"mDajKjZjRN4tVGEJFOgF9w","Chinese",3.5,218
"5YBYGnZtTGJABXC4Jahhzg","Chinese",4,157
"si4n0EtvAl3QisVHoKPOuw","Chinese",3.5,334
"38KDbZ8yuozUbswBr6OWVA","Chinese",3.5,235
"kyJ0CtJ2Lrid_YdZWobf7w","Chinese",3.5,199
"c1HgKFOT4Cc7TqWQD5mQBQ","Chinese",4.5,44
"eVDV1ALwvre01Xo8v6BCoQ","Chinese",4,88
"-lgNzAEyFr8LCTuBTWnAMg","Chinese",4,126
"HjUwZOlok1TabhS4S1ya2w","Chinese",4.5,76
"YdAtCf_13UK-uvXuOMrhNg","Chinese",4,139
"Tb4aUIIy74xG9wLDEwpxdw","Chinese",3.5,173
"IqbHVeqgewmbeSMXBhbqSw","Chinese",3.5,214
"PQ2ZlhuTlJpvMUgvsAwtmQ","Chinese",3.5,253
"_WXa2M3gz2Mi0ys3s88nDw","Chinese",4,148
"H89jrU17lNnguPaHbmzhAw","Chinese",3.5,252
"gxvwxZWWSKNFMsVr10YAQg","Chinese",3.5,265
"LwEzFDBX-nUHYHgAddfaxA","Chinese",3,319
"yzAJOjAV7BnLZpbISHZfWg","Chinese",3,456
"aije_BqBVVl-6T13QsnRqQ","Chinese",3.5,157
"8UlRXXPaSI383aiOiJQi5A","Chinese",3.5,306
"5RjZCsXuWPclyrDsnsXw7w","Chinese",4,100
"Nt3Y26a6OMtdBe8xMMJjqQ","Chinese",3.5,255
"R3UNnA8EbjhNWBHS0wJ0VA","Chinese",3.5,220
"Jn7Wtek5_R12TKp2VUJuhw","Chinese",3.5,137
"PGeL1b4xNJggpZsHEGoxjg","Chinese",3,324
"UtrW_dBuT5aqxSzx0FUICQ","Chinese",3.5,240
"DKGUSLiqNchBNatKoPM9QQ","Chinese",4,90
"lgS9lE0Y9FhzT68zCj5QCw","Chinese",3.5,169
"unz_YBwCWg-O5id5rxSyDA","Chinese",3.5,146
"2IrDzLVFUFPp229c1x8YNw","Chinese",4,128
"oJjMYhA6z1_BVaQpSdyl8g","Chinese",4,126
"AxalkZb61r5Ks7l1yhhIHQ","Chinese",3.5,155
"I_Va7AZSHpEwX75S-3hHLQ","Chinese",4,118
"rkeH5HJIuX7ZcOaYNum9xA","Chinese",3.5,139
"2lJwfmyRKO8zFz5Xuiw11w","Chinese",3,274
"7T7L3GgX_rA88SlCfd0QBw","Chinese",3.5,180
"bRL9IQG2gpdAAEcaa8V0Qg","Chinese",4.5,63
"Jy7htqnnxlKB2vZO42_-aw","Chinese",3.5,140
"w3wKbjuNCZnYoPOr-FCk5w","Chinese",4.5,53
"lFq-2FMJogdokie314E1bQ","Chinese",3.5,156
"lSrdxUNxyMgh5YU903JUiw","Chinese",4,102
"ZCAkVl5SeCDeBWg_xjfYeg","Chinese",4.5,61
"KBZQN540Xz6LbXLRVOMc0w","Chinese",3.5,157
"YigPOZxASGQX1IniEyCp8g","Chinese",3.5,140
"Sj2StOWkhHIPE6_sS5RMCQ","Chinese",3,186
"jpK6MMfLJwLXCzTeywyNNA","Chinese",3.5,166
"02zyTkuXvbGcbA9en_20Gw","Chinese",3.5,175
"dhR4FMfoN0-MT5JOs7B-5g","Chinese",4.5,48
"SNDUD4LFjVHWwrdAkokxRg","Chinese",4,57
"Ece_DRuD1yQjRPJBAebRpw","Chinese",3,221
"UNyGz06_7RendbswIyNYtA","Chinese",3.5,124
"8FJ8XVa-duF8rPeyfscUPg","Chinese",3.5,112
"jwKPVep2qZYBUA6SLLQPvg","Chinese",3.5,174
"ku3TyaUBEkuQtQXKq80Zlg","Chinese",3,202
"bAPDGHHaLZs-XEFk7ZXGVA","Chinese",3.5,141
"Myp2rEB3yEcdaZIRe0S3Ww","Chinese",3.5,120
"bDsXyYwzk4I9_7l51D_gaA","Chinese",3.5,132
"EF0O_YwVCuWioswtEMrjpg","Chinese",3,310
"bpeeh-kkay0ZE7mGXsCVKQ","Chinese",4,113
"s25mujxKWphsyFm0Ji1xYA","Chinese",3,292
"nBm-zxAWg_oA8JNtHxPvcw","Chinese",3.5,143
"u5-S5ElOzXnavuZ2gFsCpg","Chinese",3.5,155
"Qwd4Tv-CqgO2Yl9zZgkKOQ","Chinese",3,246
"_RhAY03oEBw9HNwUAJyBCw","Chinese",2.5,385
"D13m2P0qKQUWNqIW-lpHZg","Chinese",4,112
"LQ6x_oaOhRrlG9i8p-Fubw","Chinese",3.5,124
"zYoL-o9YJpGTwJ-Gmj8AFA","Chinese",3,224
"CesS-E8Q3ztX6VnkXO6wBg","Chinese",3.5,156
"NmJ2xtfZrscfWB_a5wEbXQ","Chinese",3.5,162
"6kCo3xb87Sc3Aa5ZSWzNnw","Chinese",3,189
"dTZ-q8CwEDo9iVKM0tydnQ","Chinese",3,174
"fUhBM10aNrkVGvHJ2Hbhqw","Chinese",3,188
"AvTezlpt3GXTdSEnXbHP4w","Chinese",4,313
"MXYtu8-0eNkW6L4firJfcw","Chinese",3,229
"S-jThCG_S-7_xtm75nkB2Q","Chinese",3,255
"i1eA3GawUFL-e_DbL_rg1w","Chinese",4,68
"AolkHo3ct8gGBlyyOmAkOg","Chinese",3.5,128
"MMotl_bi3-5JRra91A2jLA","Chinese",4,424
"rL5F8YnQq9SY0hyece4W2w","Chinese",3.5,139
"1YGpTYD8xIuUpK_beMhzSw","Chinese",3.5,87
"nrPfcOC4mGnEL-9CpoGhMg","Chinese",4,89
"3OT1deSiIYhrcXWJ1sD3wA","Chinese",4.5,30
"mpxgyGnJsomLOzKRsCK1TA","Chinese",3,183
"qH8PVeddtVs9cKN2pwgdkQ","Chinese",4,78
"bK-Y2zCIMolqRDHsaYUCWA","Chinese",3,227
"U5dCWjAxrvLLMH1ErpGfvw","Chinese",3.5,97
"NjBgTtcJgdXKLvqYt3C8CQ","Chinese",4,73
"1HjbS4hWLeHEwpC4EuWKYw","Chinese",4,57
"Bwj7nzWphGV6FaZ_ygTSOg","Chinese",3.5,116
"hY3z_joaHduNcF-C3ZWgqA","Chinese",3.5,88
"NZb6ILmE0p4gQ5harzrAvA","Chinese",3,334
"wCA2kvIfrkzhBQ225VKspA","Chinese",3,178
"3TMP2pncE-0LwoDukbaqlg","Chinese",3,133
"rpLZDxivPeb9ZXqqgDPfpg","Chinese",3.5,88
"RoqLH-4rDugHlduthnZggg","Chinese",4,48
"SBJHGtqJyfaU47NPjGAU6A","Chinese",4,68
"JjzCmRn3q8JrlwHx8nFhAA","Chinese",4,84
"TIckT5ubU4nPbpua1ATG8Q","Chinese",4.5,23
"WRRs3smfm6rHP5k4Slzr3w","Chinese",3,128
"douRKPVxuo8BEOkMxgVl_w","Chinese",4,51
"gJXNSJ9VXTuCFmp_Kl9TVQ","Chinese",4,65
"Dj0jblwuWTftL1D7_Kun6Q","Chinese",3,179
"xH7mEjh4Rn6KdHjXYNoOjw","Chinese",4,556
"NL7yHrgnOVNtKNRPon5vGQ","Chinese",3,138
"VooUbgaG0F2FeQZfgBbjkg","Chinese",3,159
"croh2zWlbPyCQTNS11klcg","Chinese",4,50
"75hwcHqtBI0x-Ej0OEklWA","Chinese",3.5,104
"TWI3efEcCVsTErKFWz4Zqg","Chinese",3.5,108
"sR-KTsDa4vafaDak9Ik2sQ","Chinese",3,152
"a1GTJ0bYuoc0gOjhCupBmw","Chinese",3.5,68
"zyG1GIU3KnIZ3bOVGgJXlA","Chinese",3.5,90
"m2_ZNFos5ugAwe8ft8eaEw","Chinese",4.5,290
"MXstrG3HjF83LcxAd8OpTw","Chinese",4,46
"3Qpi419I29t3sCHMzC_h-g","Chinese",3.5,71
"zb78ua-FlfFRj8v082giBw","Chinese",3.5,93
"7erFgHiQmw7ZJfVPmOjeeA","Chinese",3.5,389
"lt3Leywt1pzy23OzDqYRVA","Chinese",3,157
"dmX0ASRxBZJeMLFZ7WBK3g","Chinese",3,162
"TaiP-ad7115hSotsSC_PlA","Chinese",3.5,107
"P6O2I3PbON26-P9Jhb7Q1A","Chinese",4,33
"5TnBfeoBpxPPwIXMGBMasg","Chinese",4,52
"qpFoZi5PqY7KVWCRNOmFGw","Chinese",2.5,218
"jhFqmhHRDf7TZcITsKntJA","Chinese",2.5,250
"sMoKKcyUslHmHe0NmCYgfg","Chinese",4,208
"Mx4jHwGh5ZFHRMyiWZ_xfw","Chinese",4,34
"h0KwMWDU2I5jZhObfmN2Sg","Chinese",3.5,114
"gQ6DNeLNWQV-zwWyuFeBpg","Chinese",3,138
"xOL2SC34gdhKHSbyaDz9BA","Chinese",3,134
"AfF4zVbVI27zwgkzOLYDFg","Chinese",4,177
"KSYV3rNYaKWW-AHN4_i-7A","Chinese",3.5,92
"S-aX_Pz8F7nDL6kRThKcHw","Chinese",3.5,420
