"id","cuisine","rating","review_count","recommended"
"""tIjQyHOubGeKRnx4wSwOeA""","""Mexican""",4.5,450,1
"""MzIUB4_G9TemKsPZJkelIw""","""Indian""",3,304,0
"""aq0SXPyy_dpFjcfvTDRxBA""","""Japanese""",3.5,410,0
"""OKO2WCseGqEBwj_obKETHA""","""American""",3,724,0
"""3buS71YuT8Uv7rJcvXnmlQ""","""American""",3.5,332,0
"""OoFr5pilPnfIhH5Uvj7aAw""","""Mexican""",3,481,0
"""Tt9Mkrgd5Zj_ZJEeU0L7Gg""","""American""",3.5,379,0
"""DyraY-I4fsow50n9MNbwnQ""","""Mexican""",3.5,416,0
"""NRcffNvufYo2Jul0h24_qw""","""American""",3.5,785,0
"""yzAJOjAV7BnLZpbISHZfWg""","""Chinese""",3,456,0
"""iEUXrUUqGfUhpgYYSr5Zig""","""Italian""",3.5,562,0
"""t_tWuzMEsoD9GDgAm_0l7g""","""Indian""",3.5,345,0
"""zj4vqgljRhxwWlvttgFRKQ""","""Japanese""",3,463,0
"""fVsH6QIJPzXpVbgmeiolsA""","""Korean""",4.5,466,1
"""EFihj7vsRRXiF5la-UURyw""","""Chinese""",3.5,691,0
"""3Yq-s6jngSsVzo13uYiplw""","""Italian""",3.5,340,0
"""veq1Bl1DW3UWMekZJUsG1Q""","""American""",4.5,2465,1
"""s0yEzCRIjMtXuphJ7cL4wA""","""Thai""",3.5,350,0
"""l5_AVUx_Er6nl_YOu4RJrg""","""American""",3.5,409,0
"""wSGZA3DOFSUvALZRKCM_Sw""","""Japanese""",4.5,499,1
"""4Objcs7HXSGuzpb0SOa-Jw""","""American""",4.5,870,1
"""-8IxLBoKZj_ZdBUxXgS3UQ""","""Japanese""",3.5,595,0
"""3DNtS1_3gobrYQBAwDx4DA""","""Mexican""",3.5,629,0
"""PnGSE8JGbMZKtdHi9go7Kg""","""American""",4.5,312,1
"""34vaEo6IX8c4jr7WkY8ddw""","""Thai""",3.5,408,0
"""Da9aNH6kW3fv4mTzqx3yPw""","""Italian""",3.5,455,0
"""84zvcPTAVCsSVtzCUtSDtA""","""Chinese""",3.5,875,0
