"id","cuisine","rating","review_count","name","address","latitude","longitude","zipcode"
"Dj_ItL2pHLlOAUZ2oQBS8w","Chinese",3.5,12,"Happy Garden Palace","54 E Broadway",40.71381,-73.9955,"10002"
"hZPnCn69y31pkqy334tviQ","Chinese",2,52,"Lily's","31 Oliver St",40.71211,-73.99806,"10038"
"kQWAx-Otx-sw6eakRSAGow","Chinese",2.5,37,"Emperor Japanese Tapas Shabu Restaurant","96 Bowery",40.71767,-73.995574,"10013"
"vC3yBLteaaPp0ycXRtfwPA","Chinese",3.5,32,"Tsing Garden Chinese Restaurant","6409 Park Ave",40.7892719,-74.0060948,"07093"
"BbODF2tZuw4xW_RFwMzwRg","Chinese",3.5,12,"Jiangnan Chinese Cuisine","103 Washington St",40.70838,-74.01408,"10006"
"hUtNR4grA0l1a1YeDb1kjQ","Chinese",2,79,"Hiro Sushi","160 Freedom Pl",40.7777531278516,-73.9881146585633,"10069"
"bWENqo52d9fFPH9D-CWuqQ","Chinese",2,38,"New Fresco Tortillas","63 Reade St",40.7148315,-74.0065651,"10007"
"nrsWSUJdNtOhV2UzPi-oOQ","Chinese",3,20,"La Preciosa China Restaurant","163 E 116th St",40.79859,-73.94081,"10029"
"PKkCtyZQpVEzivSF41ZgIw","Chinese",3.5,39,"Sunrise Chinese Restaurant","3320 Broadway",40.760806,-73.923281,"11106"
"czQm6Ull9V6b-64amhUMyA","Chinese",4,41,"Good Taste Restaurant","3371 Broadway",40.8214624,-73.9543845,"10031"
"i6RhqnCJ_oUfTu5LikGXUg","Chinese",4.5,13,"Dun Huang","300 E 12th St",40.73081,-73.98568,"10003"
"5J0lUZ3yyYM1QGohm-IvfA","Chinese",4.5,5,"Xing Wang","Chinatown",40.7157550918675,-73.9982862881705,""
"ayw4_D-wSCIr-xcJ3_aZ4A","Chinese",3.5,30,"Wah Kwoon Chinese Kitchen","146 Nassau Ave",40.72463,-73.947486,"11222"
"IQ91FltwJmIPhS6fKKf2pw","Chinese",2.5,48,"China 1 Kitchen","609 Main St",40.7632023290684,-73.9490040654764,"10044"
"RUnj4RTVOSbbHE5zyguhrg","Chinese",3.5,56,"No 1 Flower Drum House","21-05 31st St",40.777674,-73.908463,"11105"
"vkgl6UT8e7PXoVZUhxXq8w","Chinese",3.5,31,"Good Taste","3801 29th St",40.7543728,-73.9335449,"11101"
"zqi2taRgN5VzkEMQGOMQHg","Chinese",3,12,"Shanghai Sogo","36 W 47th St",40.757195,-73.980431,"10036"
"EgBPFtixZK9VhRtFsobDxg","Chinese",4,5,"Best Fuzhou Restaurant","71A Eldridge St",40.7167625427246,-73.9927978515625,"10002"
"zBW83MXi_r2YQmTkwwbwFQ","Chinese",4,8,"New Golden Bowl Restaurant","51 Division St",40.71412,-73.99509,"10002"
"Ex_qolTE5syJ8so0NscfGw","Chinese",3,38,"King Wah","21-04 Newtown Ave",40.7719699594225,-73.9257651953376,"11102"
"Xr8jXXafb0tG5oAoS07Jbg","Chinese",4.5,17,"8 Dragon & Phoenix Chinese Restaurant","2217 31st St",40.7758518242693,-73.9112854238624,"11105"
"iFAAI-7NoceHYVybom5SyA","Chinese",3.5,52,"New Peking","7715 37th Ave",40.7494475,-73.8884253,"11372"
"Cj1RTtW3zZF_eDqYRZBMYQ","Chinese",3.5,17,"Tang's Noodle 大唐小面","125 Canal St",40.71603,-73.99523,"10002"
"__r8_g1cgDaiDn10cGeJ3Q","Chinese",2.5,29,"New China Red","118 Chambers St",40.715023,-74.008636,"10007"
"YCBjn0t4bMaQb8Bk7l37ng","Chinese",2.5,42,"Gan Asia","691 Amsterdam Ave",40.7923393,-73.971405,"10025"
