"id","cuisine","rating","review_count","name","address","latitude","longitude","zipcode"
"veq1Bl1DW3UWMekZJUsG1Q","American",4.5,2465,"Gramercy Tavern","42 E 20th St",40.738527,-73.988417,"10003"
"nRO136GRieGtxz18uD61DA","American",4.5,1781,"Eleven Madison Park","11 Madison Ave",40.7416907417333,-73.9872074872255,"10010"
"b8a-8u_A51v2IzyjLVsx6w","American",4.5,2404,"Del Frisco's Double Eagle Steak House","1221 Ave Of The Americas",40.7593318,-73.9819719,"10020"
"dMhRafXdr765DHe0k-QfaQ","American",4,2655,"ABC Kitchen","35 E 18th St",40.738085,-73.989472,"10003"
"PBUIaPtgnhmdHE3KHglK-g","American",4.5,1679,"Jean-Georges","1 Central Park W",40.7691122743293,-73.9814290717583,"10023"
"pfmAcS-g6SiNG0KlLvrqnA","American",4,2820,"Beauty & Essex","146 Essex St",40.72037,-73.98677,"10002"
"_gzXNKarTxagBp6_PkmQKw","American",4.5,1421,"Gotham Bar and Grill","12 E 12th St",40.734186,-73.993696,"10003"
"uoT2_Wrt1noD6kZOID7tUg","American",4,2850,"Jane","100 W Houston St",40.72732,-74.00026,"10012"
"Rc1lxc5lSKJYd162JHNMfQ","American",4,1741,"Bea","403 W 43rd St",40.7591968,-73.9923361,"10036"
"wXpCNNTT2kqh-fTnSWXdEA","American",4,2225,"Shake Shack","366 Columbus Ave",40.7808207060578,-73.9765516723468,"10024"
"PYcL2z9gHj6-ZTlViT9Nqw","American",4,1947,"Minetta Tavern","113 Macdougal St",40.7300047976758,-74.0006073834151,"10012"
"1Ed-tb_0dBGrXfsYyehmvg","American",4,2210,"Momofuku Ssam Bar","207 2nd Ave",40.73169,-73.985846,"10003"
"1z5Nu66M6W8mk5Ap4osZwA","American",4,1300,"The NoMad Restaurant","1170 Broadway",40.7449,-73.988482,"10001"
"fVbUVAiLiGgLA_nxBFxyww","American",4.5,834,"Thursday Kitchen","424 E 9th St",40.7275,-73.9838,"10009"
"HfJhenvKDi-ds8SUJFwrLg","American",3.5,3834,"Momofuku Noodle Bar","171 1st Ave",40.7292063820076,-73.9844848239426,"10003"
"cCesIqo-LQt0cRlZAnrAZQ","American",4,1685,"Friedman's","132 W 31st St",40.748297,-73.990649,"10001"
