"id","cuisine","rating","review_count","name","address","latitude","longitude","zipcode"
"a1GTJ0bYuoc0gOjhCupBmw","Chinese",3.5,68,"Kien Tuong","83 Chrystie St",40.71745,-73.99455,"10002"
"zyG1GIU3KnIZ3bOVGgJXlA","Chinese",3.5,90,"Uncle Luoyang","928 Amsterdam Ave",40.80023,-73.96626,"10025"
"m2_ZNFos5ugAwe8ft8eaEw","Chinese",4.5,290,"Eim Khao Mun Kai Elmhurst","81-32 Broadway",40.7429414097644,-73.8832733356575,"11373"
"MXstrG3HjF83LcxAd8OpTw","Chinese",4,46,"New Li Yuan","273 W 38th St",40.754589387013,-73.9912518276348,"10018"
"3Qpi419I29t3sCHMzC_h-g","Chinese",3.5,71,"Harvest Chinese & Thai Cuisine","1502 1st Ave",40.771812,-73.952659,"10075"
"zb78ua-FlfFRj8v082giBw","Chinese",3.5,93,"Jimmy's House","162 E 25th St",40.74016,-73.98256,"10010"
"7erFgHiQmw7ZJfVPmOjeeA","Chinese",3.5,389,"M Shanghai Bistro & Garden","292 Grand St",40.71285,-73.95762,"11211"
"lt3Leywt1pzy23OzDqYRVA","Chinese",3,157,"XO Taste","41 Elizabeth St",40.717025,-73.996971,"10013"
"dmX0ASRxBZJeMLFZ7WBK3g","Chinese",3,162,"Sichuan Hot Pot Cuisine","34 Pell St",40.7150052171701,-73.9985468135734,"10013"
"TaiP-ad7115hSotsSC_PlA","Chinese",3.5,107,"C & L Dumpling House","77 Chrystie St",40.717277,-73.994598,"10002"
"P6O2I3PbON26-P9Jhb7Q1A","Chinese",4,33,"Young Xinjiang BBQ Cart","Forsyth St & Division St",40.7142696738464,-73.9941427168956,"10002"
"5TnBfeoBpxPPwIXMGBMasg","Chinese",4,52,"New Double Dragon","37 1st Ave",40.7242431,-73.9881041,"10003"
"qpFoZi5PqY7KVWCRNOmFGw","Chinese",2.5,218,"The Cottage","33 Irving Pl",40.735746540724,-73.9878559112549,"10003"
"jhFqmhHRDf7TZcITsKntJA","Chinese",2.5,250,"Plump Dumpling","174 2nd Ave",40.730397,-73.9861,"10003"
"sMoKKcyUslHmHe0NmCYgfg","Chinese",4,208,"The Chinese Club","208 Grand St",40.713844,-73.96039,"11211"
"Mx4jHwGh5ZFHRMyiWZ_xfw","Chinese",4,34,"Happy Express Cafe","6 Allen St",40.7145133,-73.9924451,"10002"
"h0KwMWDU2I5jZhObfmN2Sg","Chinese",3.5,114,"Flaming Kitchen","97 Bowery St",40.717325,-73.995023,"10002"
"gQ6DNeLNWQV-zwWyuFeBpg","Chinese",3,138,"No.1 Chinese Restaurant","10 S William St",40.7046671846472,-74.0105490435282,"10004"
"xOL2SC34gdhKHSbyaDz9BA","Chinese",3,134,"Pearls","796 Amsterdam Ave",40.7958833,-73.9692167,"10025"
"AfF4zVbVI27zwgkzOLYDFg","Chinese",4,177,"Xi'an Famous Foods","648 Manhattan Ave",40.7243301734731,-73.9509299397469,"11222"
