"id","cuisine","rating","review_count","name","address","latitude","longitude","zipcode"
"tKpTRuNe7JJD6IYFPVCXNg","Mexican",3,172,"Mariachi's","156 Chambers St",40.715751,-74.010219,"10007"
"QP77bL34-vftZFZZC2N7sQ","Mexican",3.5,70,"Ghost Donkey","4 Bleecker St",40.72524,-73.99271,"10012"
"tCuPhpmf1PaYe5dmwdq8Ew","Mexican",4,65,"Guacamole Mexican Restaurant","768 Amsterdam Ave",40.7952,-73.96992,"10025"
"NvyOagUcodDPHSDF5Vhbmg","Mexican",3,380,"Skinny's Cantina","4705 Center Blvd",40.7457158661738,-73.9563131306885,"11109"
"jzVv_21473lAMYXIhVbuTA","Mexican",4,308,"De Mole Astoria","4220 30th Ave",40.7625999,-73.9129028,"11103"
"WJIU2Cu6i6-9n-ZUE5rEQA","Mexican",3.5,81,"Sabor A Mexico Taqueria","160 1st Ave",40.7284353669,-73.9844540083,"10009"
"zNcDCPiUsE5aT6jyaCVtmA","Mexican",4.5,79,"Fresco's Cantina","12-14 31st Ave",40.76837,-73.93303,"11106"
"X6A6a8hTPd1pZFNZE80TfA","Mexican",3.5,101,"Tacos Morelos","438 E 9th St",40.7274619080615,-73.9832050287211,"10009"
"CVRte0pMwk3Q9QfWsqWGqg","Mexican",3,145,"Chipotle Mexican Grill","9 W 42nd St",40.7537928601174,-73.9815028699143,"10036"
"KRyzOZnbK-A7NmJM7xn21Q","Mexican",3.5,107,"Choza Taqueria","600 11th Ave",40.762384,-73.9967513,"10036"
"9CHpio1-VqDD3zqAI93sVA","Mexican",3.5,99,"Chipotle Mexican Grill","274 Madison Ave",40.751396,-73.980712,"10016"
"juULANORQ2onWkEvSMjlaw","Mexican",3,101,"Al Horno Lean Mexican Kitchen","1089 2nd Ave",40.7597,-73.965332,"10022"
"OG_P-C9fK_0Y-YYwwKfxBA","Mexican",3.5,347,"Monika's Cafe Bar","32-90 36th St",40.7580193,-73.9233269,"11106"
"hR1bG0jgd2_Z9Q5L6siTEw","Mexican",4.5,32,"Antojito Mexicano","6th Avenue & 28th Street",40.7460380678347,-73.9905191880082,"10001"
"ueL0t_7Yu_ev2RrWK9dgDA","Mexican",4,33,"Tacombi - Empire State Building","23 W 33rd St",40.748375,-73.9864908,"10118"
"mdNall-R8nQb6gYLxWlJMg","Mexican",3.5,92,"Guac Tacos and Tequila","179 Avenue B",40.7276,-73.97911,"10009"
"bwvd5ZwBTXdpCwJktU-P8g","Mexican",4.5,109,"Sabor A Veracruz","6415 Bergenline Ave",40.79295,-74.01361,"07093"
"6Pa3-9piblDJu0l8u84Jhg","Mexican",4.5,214,"Mi Mariachi Taqueria","213 Sip Ave",40.73156,-74.06974,"07306"
"B-bx4pZXrat0D25vde2bJQ","Mexican",3.5,133,"Cantina Taqueria & Tequila Bar","329 Lenox",40.8088408787201,-73.9449808870425,"10027"
"rKhwtWGawgIXnTVW3Nl3YA","Mexican",3.5,64,"Taco Bar","358 Bowery",40.727023,-73.9918770865082,"10003"
"uLWp1QR_W2WJImMnB706hg","Mexican",3.5,92,"Mexicue","160 8th Ave",40.74202,-74.00046,"10011"
"Yilk_Ucz4L6w9EmvAS2gHg","Mexican",4,365,"Taqueria Coatzingo","7605 Roosevelt Ave",40.7471912668812,-73.8895068500844,"11372"
"RGSjUKs-hNpCSafrFcU-VQ","Mexican",4,210,"La Flor","53-02 Roosevelt Ave",40.74434,-73.91141,"11377"
"Q10FeFs1mtNchv1NbNcsLg","Mexican",3.5,86,"Oaxaca Taqueria","152 E 33rd St",40.7453117370605,-73.9795227050781,"10016"
"Guy0Mow5rqt4a3RDMRTY5g","Mexican",4,126,"Gordo's Cantina","24-11 Bridge Plz N",40.7512226,-73.9407712,"11101"
"xwOhe0kIfB-ogOkxRcKtVg","Mexican",3,135,"Chipotle Mexican Grill","2 Broadway",40.7042316742746,-74.013003687106,"10004"
"yqU1-chsjix3T4EMY2MyxA","Mexican",4,176,"Athens Grill & Sports Bar","3011 30th Ave",40.7671808396101,-73.9218648523092,"11102"
"VOAryQk18GIxwErygoranA","Mexican",3.5,405,"Charrito's","121 Washington St",40.738116,-74.030436,"07030"
"kawmpvfSzhDAy9pk8n3MxQ","Mexican",4,159,"The Haab","4722 48th Ave",40.7390211,-73.9182275,"11377"
"Jh6bSOaw0ftGh9ONiwr7nA","Mexican",4,161,"Los Tres Chilitos","456 Central Ave",40.75021,-74.04619,"07307"
"HSQrBVZ0wiXYs96yEt2qUw","Mexican",4,270,"Santos Anne","366 Union Ave",40.7113837497199,-73.9510455988026,"11211"
"yvva7IYpD6J7OfKlCdQrkw","Mexican",4.5,96,"Mi Espiguita Taqueria","32-44 31st St",40.7612033639422,-73.9261436462402,"11106"
"wKjv2DVTtfvHu-DJoWtatg","Mexican",3,109,"Chipotle Mexican Grill","129 W 48th St",40.759475,-73.982588,"10020"
"hdBhZcdZGHkTESrldAObJg","Mexican",4.5,120,"La Morada Restaurant","308 Willis Ave",40.810552,-73.92142,"10454"
"okNIE5TrZVy43GI0A3aUIw","Mexican",3.5,957,"Rocco's Tacos & Tequila Bar","339 Adams St",40.69319596606,-73.9885798943981,"11201"
"QH3VbBAf7MlePoaipxT4pA","Mexican",4,339,"Taqueria Kermes","66-36 Fresh Pond Rd",40.70785,-73.89798,"11385"
"WyeBhonhjnjzzpuPJ1euvw","Mexican",3.5,57,"La Chula NYC","89 E 42nd St",40.7524183,-73.977933,"10017"
"4c4Uwb5yUqXJ-inkcDinIg","Mexican",4,218,"Los Tacos-Mcondo","502 Grand St",40.7108323440285,-73.9509542539666,"11211"
"EU7d7_D9cQuSWL1iFvFz0A","Mexican",3,155,"Mi Nidito","789 9th Ave",40.76521,-73.98809,"10019"
"WV4wYPAGb3W69MfBqIZDHg","Mexican",4,36,"Dos Toros Taqueria","555 8th Ave",40.7546,-73.99194,"10018"
"7I-4qCgJq3n0yan1ChE-ew","Mexican",3.5,332,"Zona Rosa","571 Lorimer St",40.7139388888686,-73.9494076703442,"11211"
"AUm7If5Cbvy20AnmyxE-xA","Mexican",4,49,"Dos Toros Taqueria","52 W 52nd St",40.7607084122727,-73.9784675091505,"10019"
"F76RYME8VeIIJDkVCOe0rg","Mexican",2.5,192,"Tequila Chito's Mexican Grill","358 W 23rd St",40.7460136413574,-74.0009002685547,"10011"
"xmbBNjDuGEyeQFTkQPHMLQ","Mexican",3.5,71,"Dos Toros Taqueria","101 Maiden Ln",40.707,-74.00686,"10038"
"qGpDDZKwlkuJNL-OurWivw","Mexican",4,45,"Fusion HK Bar and Grill","688 10th Ave",40.76347,-73.99231,"10019"
"ETiWBqqeYmr_9U4L5CJaig","Mexican",2,422,"Calico's Nyc","800 2nd Ave",40.75014,-73.97176,"10017"
"WZLhPYaYSFy7M_-Jh1VuNw","Mexican",3.5,85,"Dos Toros Taqueria","200 Vesey St",40.7130865074113,-74.0160842315927,"10285"
"bVi0Rk_GfkrJJELLXaqEeA","Mexican",3.5,71,"Dos Toros Taqueria","636 Lexington Ave",40.7592114,-73.9706706,"10022"
