"id","cuisine","rating","review_count","name","address","latitude","longitude","zipcode"
"ATrDmKiZ-YrAcG3hR7LLgg","Indian",3.5,85,"Tadka Fine Indian Cuisine","1297 Paterson Plank Rd",40.79015,-74.05819,"07094"
"NDxfIV_QMyXaj4Oa4azXTg","Indian",4.5,12,"New York Pulao Kabab","36-02 Steinway St",40.7535952,-73.9237152,"11101"
"V4C5SzWmNkgPMjiCfEZ41g","Indian",3.5,86,"Kinara II Indian Restaurant","368 Myrtle Ave",40.6930084228516,-73.971435546875,"11205"
"uVRau5cd-OpqWIA-qsCiJA","Indian",4,60,"All About Indian Food","443 Bushwick Ave",40.702309,-73.936897,"11206"
"9x95RpLEIDRWG2Y9w4qz4Q","Indian",4,15,"INDAY","708 3rd Ave",40.75233,-73.97353,"10017"
"AtPhAHLLdmro_p6FP61qtw","Indian",3,16,"Kustory Kabab","126 Lexington Ave",40.742961,-73.9824728,"10016"
"8xIoNFPmYPz94xBioimvQQ","Indian",5,5,"My Biryani","6 Manhattan Ave",40.7560884850023,-73.9831016626925,"11206"
"BXoW0AUDE7WZJcY-Vhqlbg","Indian",4,56,"Indian Table","234 Court St",40.6859591,-73.9941661,"11201"
"gMgnrr8dJzJJLVH1IbFUZw","Indian",4,24,"Prime Food Market","180 10th St",40.7289087868878,-74.0412905350652,"07302"
"CPBVjdezPyeBTxW1q6R1Zg","Indian",3.5,36,"Moharani Indian Takeaway Restaurant","185 Norman Ave",40.727267,-73.946939,"11222"
"QHZxlt8nFqycBrxxizwKmA","Indian",4,69,"Taj Masala","256 Malcolm X Blvd",40.684399,-73.929653,"11233"
"iAW1UTfP8jL_vpwRh93VcA","Indian",4,55,"Bombay Xpress","964 Dekalb Ave",40.69295,-73.93671,"11221"
"MAjVFhRwxbOsMHLkObzh4Q","Indian",3,81,"Canteen Desi Dhaba","117 Tonnele Ave",40.7350791713541,-74.0670965988642,"07306"
"sEShqxRbZuWqjXEVCGMK9g","Indian",3,75,"Talk of the Town","37-21 72nd St",40.74807,-73.89348,"11372"
"WdaLydR9O57rWbTnQQQ1OQ","Indian",4.5,24,"Ruma's Kitchen","37-01 61st St",40.7493792,-73.9016969,"11377"
"fu5f6biOPsvgKYEfPfSZEQ","Indian",3.5,109,"Agra Heights","226 Wilson Ave",40.698017,-73.921467,"11237"
"-PCQyh7uZPBamQYfpI8RBw","Indian",3,99,"Dosa Hut","777 Newark Ave",40.7352599,-74.06407,"07306"
"z5z6_y69b_ufy73GZUt7Tg","Indian",4.5,20,"Dosa Spot","10 Exchange Pl",40.7166653,-74.0333272,"07302"
"FZQ-l92qE1NqpI5lbmAM_g","Indian",4,9,"Hyderabad Goat Kacchi Biryani","6TH -7th Ave N 50th St",40.7604963615585,-73.9819329231977,""
"PwK_4LPh7yQ2VcIGKNKLNw","Indian",3,12,"44th Street Curry House","160 E 44th St",40.75214,-73.97394,"10017"
"u_j2PopX_tFfQvrlerjmmA","Indian",3,93,"Golconda Chimney","806 Newark Ave",40.73585,-74.06517,"07306"
"Rta-_ALLo7g9xTUi23pmRw","Indian",3,90,"Curry On","765 Newark Ave",40.7351913452148,-74.0635375976563,"07306"
"2KCyOxOM5J9glFSpmLqb9Q","Indian",3,135,"Biryani Pot","824 Newark Ave",40.7357829,-74.0659607,"07306"
"pf_84vrm2-Ir0mVwzK8VNw","Indian",3.5,66,"Sri Annapoorna Bhavan","105 Greene St",40.71649,-74.03617,"07302"
"WbCZW0OBcakQ9oxsLsw8vg","Indian",3,99,"Honest Restaurant","811 Newark Ave",40.7356169074774,-74.0654951334,"07306"
"Yf4SjE9tfd1ASaT3xtwYzQ","Indian",4.5,5,"Bombay Biryany Cart","Broadway & Liberty St",40.7090803971022,-74.0105903148651,"10005"
"iPfHMcyE49cxJhoPL9KRzg","Indian",3.5,8,"Achar","1365 1st Ave",40.7688446044922,-73.9554901123047,"10021"
"S3dtt6qNyYfdF-I4rZTbXw","Indian",3.5,11,"Graffitti Earth","190 Church St",40.7159379,-74.0071884,"10013"
"7_NCS8bQ8UA_nEANIWm-hQ","Indian",2.5,24,"The Kati Roll Company","685 Third Ave",40.75158,-73.97333,"10017"
